,q,sample,Kq,angle/90,h/lo,D/lo,d/lo,liquid,a/a_smooth_Kut,Pr,P,a/a_smooth_Lab,a/a_smooth_Bor
165,96092.22118,18,604.101222433164,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,3.72236710193655,1.75,101325,3.80509652738824,3.15767141802668
166,131915.55764,18,829.311141419039,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,2.93658251932607,1.75,101325,3.03372082315868,2.51754284408016
167,156253.72071,18,982.317429355953,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,2.64977208729754,1.75,101325,2.75291669281265,2.28451664617025
168,180596.06373,18,1135.34999530865,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,2.48261786167134,1.75,101325,2.59173357205573,2.15075832234874
169,213160.1687,18,1340.07016285446,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,2.28089463571112,1.75,101325,2.39433893834872,1.9869497596902
170,237251.77132,18,1491.52640368642,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,2.1612720398868,1.75,101325,2.27687900891001,1.88947526481671
171,272723.33646,18,1714.52484830091,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,1.991248356548,1.75,101325,2.10752649507915,1.74893754425021
172,307568.88472,18,1933.58772396062,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,1.849390496082,1.75,101325,1.96524592363645,1.6308655609112
173,347516.40112,18,2184.72505010489,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,1.73763471504826,1.75,101325,1.85402049518647,1.53856478645085
174,462804.12371,18,2909.50228277698,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,2.20537983493327,1.75,101325,2.37567398879089,1.97146059211891
175,521087.16026,18,3275.90919058504,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,1.85314694634782,1.75,101325,2.00415084779381,1.66315093557855
176,212334.02062,22,1334.87643271783,1.0,0.119862546276975,0.0439496003015575,0.0559358549292551,вода,1.42750683699268,1.75,101325,1.49831244154064,1.24337933029364
177,165476.28866,22,1040.29677986063,1.0,0.119862546276975,0.0439496003015575,0.0559358549292551,вода,1.49219931772251,1.75,101325,1.55325072688106,1.28897004057555
178,112717.1134,22,708.616630544179,1.0,0.119862546276975,0.0439496003015575,0.0559358549292551,вода,1.56830965792402,1.75,101325,1.61171537260229,1.33748711220045
179,74814.43299,22,470.33453769627,1.0,0.119862546276975,0.0439496003015575,0.0559358549292551,вода,1.60272256443515,1.75,101325,1.62473075086935,1.34828796512307
180,37478.35052,22,235.614465831735,1.0,0.119862546276975,0.0439496003015575,0.0559358549292551,вода,1.75993086989071,1.75,101325,1.74345935580966,1.44681527438414
181,19988.04124,22,125.658456000408,1.0,0.119862546276975,0.0439496003015575,0.0559358549292551,вода,1.7939834579863,1.75,101325,1.74034083877544,1.44422736313545
182,7381.1134,22,46.4027116149737,1.0,0.119862546276975,0.0439496003015575,0.0559358549292551,вода,2.79205359559968,1.75,101325,2.62010089782489,2.17429903758222
183,26009.89691,22,163.515946720169,1.0,0.119862546276975,0.0439496003015575,0.0559358549292551,вода,1.83545878234566,1.75,101325,1.79627486684985,1.49064439368234
184,42441.23711,22,266.814554860795,1.0,0.119862546276975,0.0439496003015575,0.0559358549292551,вода,1.63528539287583,1.75,101325,1.62670959370565,1.34993011412507
185,79744.94845,22,501.331119730026,1.0,0.119862546276975,0.0439496003015575,0.0559358549292551,вода,1.50364063839568,1.75,101325,1.52753450851564,1.2676293552269
186,112820.61856,22,709.267334554518,1.0,0.119862546276975,0.0439496003015575,0.0559358549292551,вода,1.43961541462382,1.75,101325,1.47950455573957,1.22777154662769
187,166165.7732,22,1044.63134980134,1.0,0.119862546276975,0.0439496003015575,0.0559358549292551,вода,1.3262786962579,1.75,101325,1.38073303414213,1.14580568625638
