,q,alfa,sample,Kq,lo,height_h,gap_D,gap_u,thickness_d,thickness_s,angle,angle/90,h/lo,D/lo,d/lo,u/lo,s/lo,liquid,a/a_smooth_Kut,Pr,P,Ts,a/a_smooth_Lab,T_krit,P_krit,a/a_smooth_Bor
359,343117.13,26279.76,39,2157.0682322192,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,1.5014483964421999,1.75,"101,325",373.0,1.6013343749663,647.0,21830000,1.3288724083973
360,381465.0,26763.46,39,2398.1490903806,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,1.4197852726034998,1.75,"101,325",373.0,1.5195955959123,647.0,21830000,1.2610412234311998
361,421277.5,28240.51,39,2648.4376113741,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,1.3975696036893999,1.75,"101,325",373.0,1.500776168137,647.0,21830000,1.2454238616213
362,455125.0,28720.43,39,2861.2260751562,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,1.3464745515462,1.75,"101,325",373.0,1.4496373677164,647.0,21830000,1.2029861659471002
363,467387.5,29494.25,39,2938.3165112927004,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,1.3572569930693998,1.75,"101,325",373.0,1.4625414853351,647.0,21830000,1.2136946888678999
364,506196.25,29938.9,39,3182.2947753832,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,1.3029006158822,1.75,"101,325",373.0,1.4077065224478,647.0,21830000,1.1681897210513
365,531405.0,30944.77,39,3340.7741663683,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,1.3016313790205,1.75,"101,325",373.0,1.4086152971156,647.0,21830000,1.1689438705908
366,558355.0,31540.88,39,3510.2002421178004,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,1.2815489985192,1.75,"101,325",373.0,1.3891711815844,647.0,21830000,1.1528081096661
367,590787.5,33125.16,39,3714.0930510878,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,1.2937631358912,1.75,"101,325",373.0,1.4050529300899,647.0,21830000,1.1659876290193998
368,629160.0,33772.79,39,3955.3287502231,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,1.2622136227248002,1.75,"101,325",373.0,1.3736679617574001,647.0,21830000,1.1399427135368
369,666169.0,34533.45,39,4187.9925586613,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,1.2400225150821,1.75,"101,325",373.0,1.3520909961076,647.0,21830000,1.1220370001785
370,717408.75,34805.51,39,4510.1205647794,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,1.1866155340784,1.75,"101,325",373.0,1.297057176986,647.0,21830000,1.0763670108853
371,743256.88,34940.65,39,4672.6195344032,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,1.1620703475264,1.75,"101,325",373.0,1.2717270826633,647.0,21830000,1.0553467517978001
372,791206.25,35647.41,39,4974.0619683088,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,1.1348118989477,1.75,"101,325",373.0,1.2444871230830001,647.0,21830000,1.0327415849707
373,872287.63,37948.45,39,5483.7948080027,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,1.1283164981723,1.75,"101,325",373.0,1.2413944466662,647.0,21830000,1.0301751176403
374,934402.5,37239.15,39,5874.2912335977,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,1.055175409081,1.75,"101,325",373.0,1.1635882592297,647.0,21830000,0.9656074062969899
375,998910.0,38596.96,39,6279.8293627779,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,1.0437184085442,1.75,"101,325",373.0,1.1535181300514,647.0,21830000,0.95725067766913
376,1060000.0,40166.38,39,6634.7125529840005,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,1.0451555908249,1.75,"101,325",373.0,1.1572250829008999,647.0,21830000,0.96032690424488
377,109926.0,63275.06,40,691.0697886022999,0.0025028669031172,500.0,350.0,275.0,150.0,50.0,85.0,0.94444444444444,0.19977091046163,0.13983963732314003,0.059931273138488,0.10987400075388999,0.019977091046163003,вода,8.019752474679299,1.75,"101,325",373.0,8.2348276569249,647.0,21830000,6.8336978411676
378,139893.75,69708.41,40,879.4674984924701,0.0025028669031172,500.0,350.0,275.0,150.0,50.0,85.0,0.94444444444444,0.19977091046163,0.13983963732314003,0.059931273138488,0.10987400075388999,0.019977091046163003,вода,7.4631995625041,1.75,"101,325",373.0,7.7251787002170005,647.0,21830000,6.4107640385058
379,153232.63,54433.18,40,963.32479323431,0.0025028669031172,500.0,350.0,275.0,150.0,50.0,85.0,0.94444444444444,0.19977091046163,0.13983963732314003,0.059931273138488,0.10987400075388999,0.019977091046163003,вода,5.4678491417765995,1.75,"101,325",373.0,5.6769939982824,647.0,21830000,4.711071469450901
380,171550.0,55620.36,40,1078.4802706796002,0.0025028669031172,500.0,350.0,275.0,150.0,50.0,85.0,0.94444444444444,0.19977091046163,0.13983963732314003,0.059931273138488,0.10987400075388999,0.019977091046163003,вода,5.1624871773767005,1.75,"101,325",373.0,5.380164395273599,647.0,21830000,4.464746482240001
381,197032.5,58155.74,40,1238.68064082,0.0025028669031172,500.0,350.0,275.0,150.0,50.0,85.0,0.94444444444444,0.19977091046163,0.13983963732314003,0.059931273138488,0.10987400075388999,0.019977091046163003,вода,4.8990827475661,1.75,"101,325",373.0,5.1292780239193,647.0,21830000,4.256547631489299
382,218066.0,59071.75,40,1370.9115634277,0.0025028669031172,500.0,350.0,275.0,150.0,50.0,85.0,0.94444444444444,0.19977091046163,0.13983963732314003,0.059931273138488,0.10987400075388999,0.019977091046163003,вода,4.6351838322214,1.75,"101,325",373.0,4.8694147205238,647.0,21830000,4.0408992452209995
383,243940.5,59571.89,40,1533.5763128517,0.0025028669031172,500.0,350.0,275.0,150.0,50.0,85.0,0.94444444444444,0.19977091046163,0.13983963732314003,0.059931273138488,0.10987400075388999,0.019977091046163003,вода,4.321567873396,1.75,"101,325",373.0,4.5569507825948,647.0,21830000,3.7816000556051006
384,237746.5,52855.33,40,1494.6366054977,0.0025028669031172,500.0,350.0,275.0,150.0,50.0,85.0,0.94444444444444,0.19977091046163,0.13983963732314003,0.059931273138488,0.10987400075388999,0.019977091046163003,вода,3.9039800735902,1.75,"101,325",373.0,4.1130905069181,647.0,21830000,3.4132611984924
385,292056.0,55422.73,40,1836.0631532125,0.0025028669031172,500.0,350.0,275.0,150.0,50.0,85.0,0.94444444444444,0.19977091046163,0.13983963732314003,0.059931273138488,0.10987400075388999,0.019977091046163003,вода,3.5445435569657002,1.75,"101,325",373.0,3.7600999669007003,647.0,21830000,3.1203308796361
386,267453.5,70539.46,40,1681.3950630964998,0.0025028669031172,500.0,350.0,275.0,150.0,50.0,85.0,0.94444444444444,0.19977091046163,0.13983963732314003,0.059931273138488,0.10987400075388999,0.019977091046163003,вода,4.7979644624703,1.75,"101,325",373.0,5.0748378750922996,647.0,21830000,4.2113703013723995
387,199911.25,77472.74,40,1256.7784261842,0.0025028669031172,500.0,350.0,275.0,150.0,50.0,85.0,0.94444444444444,0.19977091046163,0.13983963732314003,0.059931273138488,0.10987400075388999,0.019977091046163003,вода,6.4604318255713995,1.75,"101,325",373.0,6.767262014055901,647.0,21830000,5.615833839240099
388,164350.0,86189.64,40,1033.2161613885,0.0025028669031172,500.0,350.0,275.0,150.0,50.0,85.0,0.94444444444444,0.19977091046163,0.13983963732314003,0.059931273138488,0.10987400075388999,0.019977091046163003,вода,8.2435631079846,1.75,"101,325",373.0,8.5788846150243,647.0,21830000,7.1192145987436
389,120243.5,67854.93,40,755.9326285483,0.0025028669031172,500.0,350.0,275.0,150.0,50.0,85.0,0.94444444444444,0.19977091046163,0.13983963732314003,0.059931273138488,0.10987400075388999,0.019977091046163003,вода,8.0767562539593,1.75,"101,325",373.0,8.3181976019436,647.0,21830000,6.902882654381401
390,166366.0,70922.75,40,1045.89011199,0.0025028669031172,500.0,350.0,275.0,150.0,50.0,85.0,0.94444444444444,0.19977091046163,0.13983963732314003,0.059931273138488,0.10987400075388999,0.019977091046163003,вода,6.7257242970280995,1.75,"101,325",373.0,7.0021500940897,647.0,21830000,5.810756457213
391,202230.0,70114.01,40,1271.3556697146,0.0025028669031172,500.0,350.0,275.0,150.0,50.0,85.0,0.94444444444444,0.19977091046163,0.13983963732314003,0.059931273138488,0.10987400075388999,0.019977091046163003,вода,5.7997810025834,1.75,"101,325",373.0,6.0775701989537,647.0,21830000,5.043490899680001
392,246643.75,64464.94,40,1550.5707855519,0.0025028669031172,500.0,350.0,275.0,150.0,50.0,85.0,0.94444444444444,0.19977091046163,0.13983963732314003,0.059931273138488,0.10987400075388999,0.019977091046163003,вода,4.6405899863144,1.75,"101,325",373.0,4.8951470038469,647.0,21830000,4.062253262125799
393,292123.75,66944.18,40,1836.4890759075,0.0025028669031172,500.0,350.0,275.0,150.0,50.0,85.0,0.94444444444444,0.19977091046163,0.13983963732314003,0.059931273138488,0.10987400075388999,0.019977091046163003,вода,4.2806992389272,1.75,"101,325",373.0,4.5410590265707995,647.0,21830000,3.7684122314807005
394,328606.25,68444.69,40,2065.8429463539,0.0025028669031172,500.0,350.0,275.0,150.0,50.0,85.0,0.94444444444444,0.19977091046163,0.13983963732314003,0.059931273138488,0.10987400075388999,0.019977091046163003,вода,4.0305599338828,1.75,"101,325",373.0,4.2925112968763,647.0,21830000,3.5621541099265
395,359038.75,68994.75,40,2257.162391632,0.0025028669031172,500.0,350.0,275.0,150.0,50.0,85.0,0.94444444444444,0.19977091046163,0.13983963732314003,0.059931273138488,0.10987400075388999,0.019977091046163003,вода,3.8187024093542004,1.75,"101,325",373.0,4.0789094289775,647.0,21830000,3.3848959225857995
396,383358.5,68377.7,40,2410.052922456,0.0025028669031172,500.0,350.0,275.0,150.0,50.0,85.0,0.94444444444444,0.19977091046163,0.13983963732314003,0.059931273138488,0.10987400075388999,0.019977091046163003,вода,3.6148444726427997,1.75,"101,325",373.0,3.8696051818730997,647.0,21830000,3.2112041294878
397,7204.3636400000005,1339.14832,10,13.045565051325,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,2.6764367406322997,4.0,"101,325",351.5,1.8676863000156,516.3,6300000,1.1193143654093998
398,22729.09091,1943.9373600000001,10,41.157532967601,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,1.7382813098354,4.0,"101,325",351.5,1.2603753246971998,516.3,6300000,0.7553496573430402
399,50909.09091,3563.67186,10,92.185499005464,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,1.8121168914012,4.0,"101,325",351.5,1.3497079810072,516.3,6300000,0.8088871949408101
400,9472.0,1461.46683,10,17.15177055751,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,2.4117096465225,4.0,"101,325",351.5,1.6983746780747,516.3,6300000,1.0178450069482001
401,7411.6363599999995,1534.95496,10,13.420891712671,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,3.0074679266903996,4.0,"101,325",351.5,2.1006735661505,516.3,6300000,1.2589448772036
402,27354.54545,1971.26545,10,49.533244010071,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,1.5483519970681,4.0,"101,325",351.5,1.1296167182597,516.3,6300000,0.67698532678862
403,52054.54545,3826.43959,10,94.25967272317301,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,1.9156626884302,4.0,"101,325",351.5,1.4278900207566,516.3,6300000,0.85574210853513
404,17249.45455,1789.5056,10,31.235080942124,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,1.9410447379673998,4.0,"101,325",351.5,1.3945106010723,516.3,6300000,0.83573764420872
405,50380.18182,3595.2525600000004,10,91.22775751924601,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,1.841589512249,4.0,"101,325",351.5,1.3711824730269,516.3,6300000,0.82175697259423
406,113018.18182,8391.911979999999,10,204.65180779176998,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,2.4417564230221,4.0,"101,325",351.5,1.8676738808528999,516.3,6300000,1.1193069225388999
407,15750.0,2718.802,10,28.519888754306002,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,3.1428700922736,4.0,"101,325",351.5,2.2511073782463997,516.3,6300000,1.3491006634943
408,196785.81818,15901.21617,10,356.33712018532003,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,3.1381949852627997,4.0,"101,325",351.5,2.4451573573367003,516.3,6300000,1.4653958513968
409,250880.0,19834.52412,10,454.29013909080993,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,3.302484565677,4.0,"101,325",351.5,2.5940803695888,516.3,6300000,1.5546462072795
410,348872.72727,26169.854069999998,10,631.73405531122,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,3.4592314989581,4.0,"101,325",351.5,2.7472338151317994,516.3,6300000,1.6464318844068
411,426909.09090999997,30465.273210000003,10,773.04125593366,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,3.4963551064378,4.0,"101,325",351.5,2.7954634044063,516.3,6300000,1.6753361346078999
412,532400.0,43500.56986,10,964.0627792249301,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,4.2773378389195,4.0,"101,325",351.5,3.4451535611360002,516.3,6300000,2.0646989122256003
413,395420.0,36371.55511,10,716.0212324589,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,4.404190219953,4.0,"101,325",351.5,3.5123284256818996,516.3,6300000,2.1049571669871003
414,287789.45455,31186.54687,10,521.1252843446599,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,4.716937448614701,4.0,"101,325",351.5,3.7221143294558,516.3,6300000,2.2306829785179
415,218704.36364,24806.0764,10,396.02692832344,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,4.5467712303222,4.0,"101,325",351.5,3.5551569707501,516.3,6300000,2.1306245425758
416,163854.54545,21229.11889,10,296.70561321406,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,4.7627333114448,4.0,"101,325",351.5,3.6883487287855,516.3,6300000,2.210447073866
417,125521.81818,15703.8311,10,227.29322480837,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,4.2456813968158995,4.0,"101,325",351.5,3.2588557516881003,516.3,6300000,1.9530496409546998
418,87260.72727,11305.56585,10,158.01055456256,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,3.9424333893291004,4.0,"101,325",351.5,2.989639029183,516.3,6300000,1.7917066226406002
419,51025.636360000004,8222.03313,10,92.396537943167,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,4.174193349519101,4.0,"101,325",351.5,3.109275981741,516.3,6300000,1.8634056866809
420,27484.363639999996,4428.70221,10,49.768317047346,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,3.4670630448117996,4.0,"101,325",351.5,2.5298320544757997,516.3,6300000,1.516141849209
421,8668.363640000001,2327.10967,10,15.696556615535,0.0014379442108226,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.29208365445536,0.1251787090523,0.11822433632717,0.097361218151788,0.12378783450727,этанол,4.086072853821,4.0,"101,325",351.5,2.8690036828907997,516.3,6300000,1.7194092159081
422,87665.45455,29219.93088,15,158.74342929281,0.0014379442108226,340.0,70.0,140.0,170.0,178.0,75.0,0.83333333333333,0.23644867265434,0.048680609075894,0.11822433632717,0.097361218151788,0.12378783450727,этанол,10.156509572080001,4.0,"101,325",351.5,7.703105768900699,516.3,6300000,4.6165123903979
423,82745.45455,27483.81847,15,149.83435928193998,0.0014379442108226,340.0,70.0,140.0,170.0,178.0,75.0,0.83333333333333,0.23644867265434,0.048680609075894,0.11822433632717,0.097361218151788,0.12378783450727,этанол,9.9472128103876,4.0,"101,325",351.5,7.5298555245203,516.3,6300000,4.512682594492599
424,124727.27273,31554.103260000004,15,225.85447256429,0.0014379442108226,340.0,70.0,140.0,170.0,178.0,75.0,0.83333333333333,0.23644867265434,0.048680609075894,0.11822433632717,0.097361218151788,0.12378783450727,этанол,8.568959382320301,4.0,"101,325",351.5,6.5758802272184,516.3,6300000,3.9409601084912
425,194534.54545,36493.43017,15,352.26054572085997,0.0014379442108226,340.0,70.0,140.0,170.0,178.0,75.0,0.83333333333333,0.23644867265434,0.048680609075894,0.11822433632717,0.097361218151788,0.12378783450727,этанол,7.2604278237435995,4.0,"101,325",351.5,5.654868795510599,516.3,6300000,3.3889930430326003
426,286249.09090999997,38718.57003,15,518.3360145253599,0.0014379442108226,340.0,70.0,140.0,170.0,178.0,75.0,0.83333333333333,0.23644867265434,0.048680609075894,0.11822433632717,0.097361218151788,0.12378783450727,этанол,5.8781906591308,4.0,"101,325",351.5,4.6376243550113,516.3,6300000,2.7793530219144
427,325703.63636,43756.13705,15,589.77977624509,0.0014379442108226,340.0,70.0,140.0,170.0,178.0,75.0,0.83333333333333,0.23644867265434,0.048680609075894,0.11822433632717,0.097361218151788,0.12378783450727,этанол,6.0688777461101,4.0,"101,325",351.5,4.8087209070779,516.3,6300000,2.8818920985241
